Model,geometry,f_res_true,f_res_pred,f_res_err_MHz,S11min_true,S11min_pred,S11min_err_dB,BW_true_MHz,BW_pred_MHz,BW_err_MHz
Random Forest (150),38,2.3949999809265,2.3940000534058,0.9999275206999947,-27.359127727739,-34.3115411008897,6.952413373150698,66.99991226199975,69.00000572199971,2.0000934599999596
Random Forest (150),41,2.3980000019073,2.4000000953674,2.0000934601003273,-19.681770833663,-25.00718298744407,5.325412153781073,69.99993324280007,72.99995422359996,3.0000209807998885
Random Forest (150),49,2.3910000324249,2.3949999809265,3.9999485015997926,-11.132181757703,-10.254782949748305,0.8773988079546946,26.000022888200025,13.99993896480023,12.000083923399796
Random Forest (150),4,2.4000000953674,2.4030001163483,3.000020980899798,-26.740244578527,-28.503558890936088,1.7633143124090864,42.99998283380013,41.999816894499716,1.000165939300416
Random Forest (150),9,2.3840000629425,2.3840000629425,0.0,-19.998909269943,-18.7846760446401,1.2142332253028982,49.00002479560017,49.00002479550025,9.991651950258529e-11
Random Forest (150),14,2.4260001182556,2.3900001049042,36.000013351400014,-23.0230862050011,-35.248158761944424,12.225072556943324,52.00004577640005,46.00000381469993,6.00004196170012
Random Forest (150),16,2.4319999217987,2.4260001182556,5.999803543099702,-16.730258868146,-7.762389110915869,8.96786975723013,28.000116348199988,0.0,28.000116348199988
Random Forest (150),17,2.4379999637604,2.4289999008179,9.000062942499998,-10.776960574501,-10.433426179208574,0.34353439529242635,9.999990463300357,3.000020980899798,6.999969482400559
Random Forest (150),28,2.3940000534058,2.3940000534058,0.0,-16.38999103207,-19.120142395444034,2.730151363374034,65.99998474119984,70.99986076359998,4.999876022400144
Random Forest (150),34,2.3949999809265,2.3980000019073,3.000020980799878,-33.022843236116,-29.03326239501462,3.9895808411013824,75.99997520450019,75.99997520440027,9.991651950258529e-11
Random Forest (150),35,2.3970000743866,2.3980000019073,0.9999275206999947,-61.784445329333,-33.377487001121665,28.40695832821134,77.00014114380016,78.99999618530006,1.9998550414998988
Random Forest (150),43,2.3919999599457,2.3919999599457,0.0,-16.64990747909,-15.351381941480149,1.2985255376098515,55.00006675719993,55.00006675719993,0.0
Random Forest (150),50,2.3949999809265,2.3940000534058,0.9999275206999947,-10.257995278342,-11.642311276004301,1.384315997662302,13.000011444100235,26.99995040899994,13.999938964899705
Random Forest (150),3,2.4030001163483,2.404000043869,0.9999275206999947,-11.700381621327,-12.550040312028319,0.8496586907013182,29.999971389800262,36.99994087210001,6.9999694822997505
Random Forest (150),5,2.4200000762939,2.4100000858307,9.999990463199993,-29.994411043104,-38.43587833520826,8.441467292104257,51.000118255600135,51.000118255600135,0.0
Random Forest (150),10,2.385999917984,2.385999917984,0.0,-21.85497796376,-23.219496808442436,1.3645188446824363,49.00002479549981,46.00000381469993,3.0000209807998814
Random Forest (150),15,2.4200000762939,2.4010000228882,19.00005340569999,-18.15469827289,-23.420277811422164,5.265579538532165,36.00001335149994,40.9998893736998,4.999876022199864
Random Forest (150),20,2.4470000267029,2.4519999027252,4.999876022300231,-23.51289943759,-18.554922593884417,4.957976843705584,32.99999237060014,37.99986839300029,4.9998760224001515
Random Forest (150),25,2.404000043869,2.404000043869,0.0,-17.088875132172,-12.550040312028319,4.538834820143681,46.00000381469993,38.000106811499904,7.999897003200026
Random Forest (150),29,2.3940000534058,2.3959999084473,1.9998550414999094,-18.426548199326,-21.475567163321873,3.0490189639958736,72.00002670289996,77.99983024590018,5.999803543000226
Random Forest (150),32,2.3940000534058,2.3970000743866,3.000020980799878,-22.114634008256,-34.71638261971885,12.601748611462849,69.00000572210007,68.00007820130017,0.9999275207999005
Random Forest (150),33,2.3949999809265,2.3970000743866,2.000093460099883,-26.469293807126,-34.7511386510814,8.281844843955398,72.99995422359996,75.99997520450019,3.0000209809002314
Random Forest (150),39,2.3949999809265,2.3970000743866,2.000093460099883,-23.502986944529,-21.30127078977652,2.2017161547524786,69.00000572199971,69.99993324279963,0.9999275207999148
Random Forest (150),44,2.3919999599457,2.3940000534058,2.000093460099883,-15.361728291361,-14.62169618859191,0.7400321027690904,55.00006675719993,52.99997329710004,2.0000934600998903
Random Forest (150),1,2.3829998970032,2.3840000629425,1.0001659392999684,-18.377237901985,-19.833836583804437,1.456598681819436,49.00002479550025,49.9999523161998,0.9999275206995506
Random Forest (150),2,2.3959999084473,2.3980000019073,2.000093459999963,-14.768047822382,-23.35540865118677,8.587360828804771,39.99996185300026,55.00006675719993,15.000104904199674
